A4GALT	ENSG00000128274
BICC1	ENSG00000122870
BICD2	ENSG00000185963
BIN1	ENSG00000136717
BLK	ENSG00000136573
BLM	ENSG00000197299
BLMH	ENSG00000108578
BLNK	ENSG00000095585
BLOC1S3	ENSG00000189114
BLOC1S6	ENSG00000104164
BLVRA	ENSG00000106605
BMP15	ENSG00000130385
BMP1	ENSG00000168487
BMP2	ENSG00000125845
BMP4	ENSG00000125378
BMPER	ENSG00000164619
BMPR1A	ENSG00000107779
BMPR1B	ENSG00000138696
BMPR2	ENSG00000204217
BMS1	ENSG00000165733
BOLA3	ENSG00000163170
BPGM	ENSG00000172331
BRAF	ENSG00000157764
BRAT1	ENSG00000106009
BRCA1	ENSG00000012048
BRCA2	ENSG00000139618
BRF1	ENSG00000185024
BRIP1	ENSG00000136492
BRWD3	ENSG00000165288
BSCL2	ENSG00000168000
BSG	ENSG00000172270
BSND	ENSG00000162399
BTD	ENSG00000169814
BTK	ENSG00000010671
BTNL2	ENSG00000225845
BUB1B	ENSG00000156970
BUB1	ENSG00000169679
BVES	ENSG00000112276
C10orf11	ENSG00000148655
C10orf2	ENSG00000107815
C11orf73	ENSG00000149196
C12orf57	ENSG00000111678
C12orf65	ENSG00000130921
C15orf41	ENSG00000186073
C19orf12	ENSG00000131943
C1GALT1C1	ENSG00000171155
C1QA	ENSG00000173372
C1QB	ENSG00000173369
C1QC	ENSG00000159189
C1QTNF5	ENSG00000223953
C1S	ENSG00000182326
C2CD3	ENSG00000168014
C2	ENSG00000226560
C2orf71	ENSG00000179270
C3	ENSG00000125730
C4A	ENSG00000227746
C4B	ENSG00000224639
C4orf26	ENSG00000174792
C5	ENSG00000106804
C5orf42	ENSG00000197603
C6	ENSG00000039537
C7	ENSG00000112936
C8A	ENSG00000157131
C8B	ENSG00000021852
C8orf37	ENSG00000156172
C9	ENSG00000113600
C9orf72	ENSG00000147894
CA12	ENSG00000074410
CA2	ENSG00000104267
CA4	ENSG00000167434
CA5A	ENSG00000174990
CA8	ENSG00000178538
CABP2	ENSG00000167791
CABP4	ENSG00000175544
CACNA1A	ENSG00000141837
CACNA1B	ENSG00000148408
CACNA1C	ENSG00000151067
CACNA1D	ENSG00000157388
CACNA1F	ENSG00000102001
CACNA1G	ENSG00000006283
CACNA1H	ENSG00000196557
CACNA1S	ENSG00000081248
CACNA2D4	ENSG00000151062
CACNB2	ENSG00000165995
CACNB4	ENSG00000182389
CACNG2	ENSG00000166862
CAD	ENSG00000084774
CALCR	ENSG00000004948
CALM1	ENSG00000198668
CALM2	ENSG00000198668
CALR3	ENSG00000269058
CALR	ENSG00000179218
CAMTA1	ENSG00000171735
CANT1	ENSG00000171302
CAPN10	ENSG00000142330
CAPN1	ENSG00000014216
CAPN3	ENSG00000092529
CAPN5	ENSG00000149260
CARD11	ENSG00000198286
CARD14	ENSG00000141527
CARD9	ENSG00000187796
CARS2	ENSG00000134905
CARTPT	ENSG00000164326
CASC5	ENSG00000137812
CASK	ENSG00000147044
CASP10	ENSG00000003400
CASP12	ENSG00000204403
CASP8	ENSG00000064012
CASQ1	ENSG00000143318
CASQ2	ENSG00000118729
CASR	ENSG00000036828
CAST	ENSG00000153113
CAT	ENSG00000121691
CATSPER1	ENSG00000175294
CAV1	ENSG00000105974
CAV3	ENSG00000182533
CBL	ENSG00000110395
CBS	ENSG00000160200
CBX2	ENSG00000173894
CC2D1A	ENSG00000132024
CC2D2A	ENSG00000048342
CCBE1	ENSG00000183287
CCDC103	ENSG00000214447
CCDC114	ENSG00000105479
CCDC115	ENSG00000136710
CCDC151	ENSG00000198003
CCDC174	ENSG00000154781
CCDC22	ENSG00000101997
CCDC28B	ENSG00000160050
CCDC39	ENSG00000145075
CCDC40	ENSG00000141519
CCDC50	ENSG00000152492
CCDC65	ENSG00000139537
CCDC78	ENSG00000162004
CCDC88C	ENSG00000015133
CCDC8	ENSG00000169515
CCL11	ENSG00000172156
CCL2	ENSG00000108691
CCL3L1	ENSG00000276085
CCL5	ENSG00000271503
CCM2	ENSG00000136280
CCND1	ENSG00000110092
CCND2	ENSG00000118971
CCNO	ENSG00000152669
CCR2	ENSG00000121807
CCR5	ENSG00000160791
CCT5	ENSG00000150753
CD151	ENSG00000177697
CD19	ENSG00000177455
CD207	ENSG00000116031
CD209	ENSG00000090659
CD244	ENSG00000122223
CD247	ENSG00000198821
CD27	ENSG00000139193
CD2AP	ENSG00000198087
CD320	ENSG00000167775
CD36	ENSG00000135218
CD3D	ENSG00000167286
CD3E	ENSG00000198851
CD3G	ENSG00000160654
CD40	ENSG00000101017
CD40LG	ENSG00000102245
CD44	ENSG00000026508
CD46	ENSG00000117335
CD4	ENSG00000010610
CD55	ENSG00000196352
CD59	ENSG00000085063
CD79A	ENSG00000105369
CD79B	ENSG00000007312
CD81	ENSG00000110651
CD8A	ENSG00000153563
CD96	ENSG00000153283
CDAN1	ENSG00000140326
CDC42	ENSG00000070831
CDC6	ENSG00000094804
CDCA7	ENSG00000144354
CDH15	ENSG00000129910
CDH19	ENSG00000071991
CDH1	ENSG00000039068
CDH23	ENSG00000107736
CDH3	ENSG00000062038
CDHR1	ENSG00000148600
CDK4	ENSG00000135446
CDK5	ENSG00000164885
CDK5RAP2	ENSG00000136861
CDK6	ENSG00000105810
CDKAL1	ENSG00000145996
CDKL5	ENSG00000008086
CDKN1B	ENSG00000111276
CDKN1C	ENSG00000129757
CDKN2A	ENSG00000147889
CDKN2B-AS1	ENSG00000240498
CDON	ENSG00000064309
CDS1	ENSG00000163624
CDSN	ENSG00000206460
CDT1	ENSG00000167513
CEACAM16	ENSG00000213892
CEBPA	ENSG00000245848
CEBPE	ENSG00000092067
CECR1	ENSG00000093072
CEL	ENSG00000170835
CENPE	ENSG00000138778
CENPF	ENSG00000117724
CENPJ	ENSG00000151849
CEP104	ENSG00000116198
CEP120	ENSG00000168944
CEP135	ENSG00000174799
CEP152	ENSG00000103995
CEP164	ENSG00000110274
CEP19	ENSG00000174007
CEP290	ENSG00000198707
CEP41	ENSG00000106477
CEP57	ENSG00000166037
CEP63	ENSG00000182923
CEP83	ENSG00000173588
CERKL	ENSG00000188452
CERS1	ENSG00000223802
CERS3	ENSG00000154227
CES1	ENSG00000262243
CETP	ENSG00000087237
CFB	ENSG00000241534
CFC1	ENSG00000136698
CFD	ENSG00000274619
CFH	ENSG00000000971
CFHR1	ENSG00000244414
CFHR3	ENSG00000116785
CFHR5	ENSG00000134389
CFI	ENSG00000205403
CFL2	ENSG00000165410
CFTR	ENSG00000001626
CHAMP1	ENSG00000198824
CHAT	ENSG00000070748
CHCHD10	ENSG00000250479
CHCHD2	ENSG00000106153
CHD2	ENSG00000173575
CHD7	ENSG00000171316
CHD8	ENSG00000100888
CHEK2	ENSG00000183765
CHI3L1	ENSG00000133048
CHIC2	ENSG00000109220
CHKB	ENSG00000100288
CHM	ENSG00000188419
CHMP1A	ENSG00000131165
CHMP2B	ENSG00000083937
CHMP4B	ENSG00000101421
CHN1	ENSG00000128656
CHRDL1	ENSG00000101938
CHRM3	ENSG00000133019
CHRNA1	ENSG00000138435
CHRNA2	ENSG00000120903
CHRNA3	ENSG00000080644
CHRNA4	ENSG00000101204
CHRNA5	ENSG00000169684
CHRNB1	ENSG00000170175
CHRNB2	ENSG00000160716
CHRND	ENSG00000135902
CHRNE	ENSG00000108556
CHRNG	ENSG00000196811
CHST14	ENSG00000169105
CHST3	ENSG00000122863
CHST6	ENSG00000183196
CHST8	ENSG00000124302
CHSY1	ENSG00000131873
CHUK	ENSG00000213341
CIB2	ENSG00000136425
CIDEC	ENSG00000187288
CILP	ENSG00000138615
CISD2	ENSG00000145354
CISH	ENSG00000114737
CITED2	ENSG00000164442
CKAP2L	ENSG00000169607
CLC	ENSG00000105205
CLCF1	ENSG00000175505
CLCN1	ENSG00000188037
CLCN2	ENSG00000114859
CLCN5	ENSG00000171365
CLCN7	ENSG00000103249
CLCNKA	ENSG00000186510
CLCNKB	ENSG00000184908
CLDN14	ENSG00000159261
CLDN16	ENSG00000113946
CLDN19	ENSG00000164007
CLDN1	ENSG00000163347
CLEC7A	ENSG00000172243
CLIC2	ENSG00000155962
CLIC5	ENSG00000112782
CLK1	ENSG00000013441
CLMP	ENSG00000166250
CLN3	ENSG00000188603
CLN5	ENSG00000102805
CLN6	ENSG00000128973
CLN8	ENSG00000182372
CLP1	ENSG00000172409
CLPB	ENSG00000162129
CLPP	ENSG00000125656
CLRN1	ENSG00000163646
CMC1	ENSG00000187118
CNGA1	ENSG00000198515
CNGA3	ENSG00000144191
CNGB1	ENSG00000070729
CNGB3	ENSG00000170289
CNNM2	ENSG00000148842
CNNM4	ENSG00000158158
CNTN1	ENSG00000018236
CNTN2	ENSG00000184144
CNTNAP1	ENSG00000108797
CNTNAP2	ENSG00000278728
COA5	ENSG00000183513
COA6	ENSG00000168275
COASY	ENSG00000068120
COCH	ENSG00000100473
COD2	
COG1	ENSG00000166685
COG4	ENSG00000103051
COG5	ENSG00000164597
COG6	ENSG00000133103
COG7	ENSG00000168434
COG8	ENSG00000213380
COL10A1	ENSG00000123500
COL11A1	ENSG00000060718
COL11A2	ENSG00000232541
COL12A1	ENSG00000111799
COL13A1	ENSG00000197467
COL17A1	ENSG00000065618
COL18A1	ENSG00000182871
COL1A1	ENSG00000108821
COL1A2	ENSG00000164692
COL25A1	ENSG00000188517
COL27A1	ENSG00000196739
COL2A1	ENSG00000139219
COL3A1	ENSG00000168542
COL4A1	ENSG00000187498
COL4A2	ENSG00000134871
COL4A3BP	ENSG00000113163
COL4A3	ENSG00000169031
COL4A4	ENSG00000081052
COL4A5	ENSG00000188153
COL4A6	ENSG00000197565
COL5A1	ENSG00000130635
COL5A2	ENSG00000204262
COL6A1	ENSG00000142156
COL6A2	ENSG00000142173
COL6A3	ENSG00000163359
COL7A1	ENSG00000114270
COL8A2	ENSG00000171812
COL9A1	ENSG00000112280
COL9A2	ENSG00000049089
COL9A3	ENSG00000092758
COLEC11	ENSG00000118004
COLQ	ENSG00000206561
COMP	ENSG00000105664
COMT	ENSG00000093010
COPA	ENSG00000122218
COQ2	ENSG00000173085
COQ4	ENSG00000167113
COQ6	ENSG00000119723
COQ7	ENSG00000167186
COQ9	ENSG00000088682
CORIN	ENSG00000145244
CORO1A	ENSG00000102879
COX10	ENSG00000006695
COX14	ENSG00000178449
COX15	ENSG00000014919
COX20	ENSG00000203667
COX4I2	ENSG00000131055
COX6A1	ENSG00000111775
COX6B1	ENSG00000126267
COX7B	ENSG00000131174
COX8A	ENSG00000176340
CPA6	ENSG00000165078
CP	ENSG00000047457
CPN1	ENSG00000120054
CPOX	ENSG00000080819
CPS1	ENSG00000021826
CPT1A	ENSG00000110090
CPT1C	ENSG00000169169
CPT2	ENSG00000157184
CR1	ENSG00000203710
CR2	ENSG00000117322
CRADD	ENSG00000169372
CRB1	ENSG00000134376
CRB2	ENSG00000148204
CRBN	ENSG00000113851
CREB1	ENSG00000118260
CREBBP	ENSG00000005339
CRELD1	ENSG00000163703
CRIPT	ENSG00000119878
CRLF1	ENSG00000006016
CRTAP	ENSG00000170275
CRTC1	ENSG00000105662
CRX	ENSG00000105392
CRYAA	ENSG00000160202
CRYAB	ENSG00000109846
CRYBA1	ENSG00000108255
CRYBA2	ENSG00000163499
CRYBA4	ENSG00000196431
CRYBB1	ENSG00000100122
CRYBB2	ENSG00000244752
CRYBB3	ENSG00000100053
CRYGB	ENSG00000182187
CRYGC	ENSG00000163254
CRYGD	ENSG00000118231
CRYGS	ENSG00000213139
CRYM	ENSG00000103316
CSF1R	ENSG00000182578
CSF2RA	ENSG00000198223
CSF2RB	ENSG00000100368
CSF3R	ENSG00000119535
CSNK1D	ENSG00000141551
CSPP1	ENSG00000104218
CSRP3	ENSG00000129170
CST3	ENSG00000101439
CSTA	ENSG00000121552
CSTB	ENSG00000160213
CTC1	ENSG00000178971
CTCF	ENSG00000102974
CTDP1	ENSG00000060069
CTH	ENSG00000116761
CTHRC1	ENSG00000164932
CTLA4	ENSG00000163599
CTNNA1	ENSG00000044115
CTNNA3	ENSG00000183230
CTNNB1	ENSG00000168036
CTNS	ENSG00000040531
CTPS1	ENSG00000171793
CTRC	ENSG00000162438
CTSA	ENSG00000064601
CTSC	ENSG00000109861
CTSD	ENSG00000117984
CTSF	ENSG00000174080
CTSK	ENSG00000143387
CUBN	ENSG00000107611
CUL3	ENSG00000036257
CUL4B	ENSG00000158290
CUL7	ENSG00000044090
CWF19L1	ENSG00000095485
CX3CR1	ENSG00000168329
CXCL12	ENSG00000107562
CXCR1	ENSG00000163464
CXCR4	ENSG00000121966
CYB5A	ENSG00000166347
CYB5R3	ENSG00000100243
CYBA	ENSG00000051523
CYBB	ENSG00000165168
CYC1	ENSG00000179091
CYCS	ENSG00000172115
CYLD	ENSG00000083799
CYP11A1	ENSG00000140459
CYP11B1	ENSG00000160882
CYP11B2	ENSG00000179142
CYP17A1	ENSG00000148795
CYP19A1	ENSG00000137869
CYP1B1	ENSG00000138061
CYP21A2	ENSG00000231852
CYP24A1	ENSG00000019186
CYP26B1	ENSG00000003137
CYP26C1	ENSG00000187553
CYP27A1	ENSG00000135929
CYP27B1	ENSG00000111012
CYP2A6	ENSG00000255974
CYP2B6	ENSG00000197408
CYP2C19	ENSG00000165841
CYP2C8	ENSG00000138115
CYP2C9	ENSG00000138109
CYP2D6	ENSG00000275211
CYP2R1	ENSG00000186104
CYP2U1	ENSG00000155016
CYP3A5	ENSG00000106258
CYP4F22	ENSG00000171954
CYP4V2	ENSG00000145476
CYP7B1	ENSG00000172817
CYYR1-AS1	
D2HGDH	ENSG00000180902
DAB1	ENSG00000173406
DAG1	ENSG00000173402
DAOA-AS1	ENSG00000232307
DARS2	ENSG00000117593
DARS	ENSG00000115866
DAZL	ENSG00000092345
DBH	ENSG00000123454
DBT	ENSG00000137992
DCAF17	ENSG00000115827
DCAF8	ENSG00000132716
DCC	ENSG00000187323
DCDC2	ENSG00000146038
DCHS1	ENSG00000166341
DCLRE1C	ENSG00000152457
DCN	ENSG00000011465
DCPS	ENSG00000110063
DCTN1	ENSG00000204843
DCX	ENSG00000077279
DCXR	ENSG00000169738
DDB2	ENSG00000134574
DDC	ENSG00000132437
DDHD1	ENSG00000100523
DDHD2	ENSG00000085788
DDOST	ENSG00000244038
DDR2	ENSG00000162733
DDX11	ENSG00000013573
DDX3X	ENSG00000215301
DDX41	ENSG00000183258
DDX58	ENSG00000107201
DDX59	ENSG00000118197
DEAF1	ENSG00000282712
DEPDC5	ENSG00000100150
DES	ENSG00000175084
DFNA5	ENSG00000105928
DFNB59	ENSG00000204311
DGAT1	ENSG00000185000
DGKE	ENSG00000153933
DGUOK	ENSG00000114956
DHCR24	ENSG00000116133
DHCR7	ENSG00000172893
DHDDS	ENSG00000117682
DHFR	ENSG00000228716
DHH	ENSG00000139549
DHODH	ENSG00000102967
DHRS4-AS1	ENSG00000215256
DHTKD1	ENSG00000181192
DIABLO	ENSG00000184047
DIAPH1	ENSG00000131504
DIAPH2-AS1	ENSG00000236256
DIAPH2	ENSG00000147202
DIAPH3	ENSG00000139734
DICER1	ENSG00000100697
DIP2B	ENSG00000066084
DIS3L2	ENSG00000144535
DISC1	ENSG00000162946
DKC1	ENSG00000130826
DLAT	ENSG00000150768
DLC1	ENSG00000164741
DLD	ENSG00000091140
DLG3	ENSG00000082458
DLL3	ENSG00000090932
DLL4	ENSG00000128917
DLX2	ENSG00000115844
DLX3	ENSG00000064195
DLX4	ENSG00000108813
DLX5	ENSG00000105880
DMD	ENSG00000198947
DMGDH	ENSG00000132837
DMP1	ENSG00000152592
DMPK	ENSG00000104936
DMXL2	ENSG00000104093
DNA2	ENSG00000138346
DNAAF3	ENSG00000167646
DNAH11	ENSG00000105877
DNAH5	ENSG00000039139
DNAI1	ENSG00000122735
DNAI2	ENSG00000171595
DNAJB2	ENSG00000135924
DNAJB6	ENSG00000105993
DNAJC13	ENSG00000138246
DNAJC19	ENSG00000205981
DNAJC3	ENSG00000102580
DNAJC5	ENSG00000101152
DNAJC6	ENSG00000116675
DNAL1	ENSG00000119661
DNAL4	ENSG00000100246
DNASE1	ENSG00000213918
DNASE1L3	ENSG00000163687
DNM1	ENSG00000106976
DNM1L	ENSG00000087470
DNM2	ENSG00000079805
DNMT1	ENSG00000130816
DNMT3A	ENSG00000119772
DNMT3B	ENSG00000088305
DOCK2	ENSG00000134516
DOCK6	ENSG00000130158
DOCK7	ENSG00000116641
DOCK8	ENSG00000107099
DOK1	ENSG00000115325
DOK7	ENSG00000175920
DPAGT1	ENSG00000172269
DPH1	ENSG00000108963
DPM1	ENSG00000000419
DPM2	ENSG00000136908
DPM3	ENSG00000179085
DPP6	ENSG00000130226
DPY19L2	ENSG00000177990
DPYD	ENSG00000188641
DPYS	ENSG00000147647
DRAM2	ENSG00000156171
DRC1	ENSG00000157856
DRD3	ENSG00000151577
DRD4	ENSG00000069696
DRD5	ENSG00000169676
DSC2	ENSG00000134755
DSC3	ENSG00000134762
DSE	ENSG00000111817
DSG1	ENSG00000134760
DSG2	ENSG00000046604
DSG4	ENSG00000175065
DSP	ENSG00000096696
DSPP	ENSG00000152591
DST	ENSG00000151914
DSTYK	ENSG00000133059
DTNA	ENSG00000134769
DTNBP1	ENSG00000047579
DUOX2	ENSG00000140279
DUOXA2	ENSG00000140274
